age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,189620,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,6849,0,40,England,<=50K
49,State-gov,336509,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,180019,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
37,Private,105044,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,>50K
44,Private,48087,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
34,State-gov,154246,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,4865,0,55,United-States,<=50K
27,Local-gov,106179,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
34,Private,101709,HS-grad,9,Separated,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
31,Private,198513,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
41,State-gov,201363,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,>50K
28,,192257,Some-college,10,Married-civ-spouse,,Husband,White,Male,0,0,5,United-States,<=50K
40,Private,226585,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,>50K
54,State-gov,198186,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,38,United-States,<=50K
44,Private,229954,Assoc-acdm,12,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
20,Private,174685,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
47,Self-emp-inc,139268,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
38,Federal-gov,236648,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,172581,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States,>50K
49,Self-emp-inc,257764,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
33,Private,160614,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
24,Private,190293,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,118941,Some-college,10,Divorced,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
31,Private,162623,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
43,State-gov,52849,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
40,Self-emp-not-inc,33068,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
22,Private,196943,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,189759,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,4865,0,40,United-States,<=50K
53,,237868,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,35,United-States,>50K
67,Private,53874,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,Cuba,<=50K
33,Private,82623,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,48,United-States,>50K
28,Private,250679,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
18,Self-emp-inc,357223,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
22,Private,64292,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Private,201495,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
55,Federal-gov,272339,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
47,Private,151584,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,>50K
71,Private,139031,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
19,Private,210364,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,<=50K
18,Private,51255,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,United-States,<=50K
61,Private,162391,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1651,40,United-States,<=50K
26,Private,34161,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Private,438696,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
81,Private,39895,7th-8th,4,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
52,Private,264129,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
39,Private,195253,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
25,Private,179953,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,2597,0,31,United-States,<=50K
20,Private,50397,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,<=50K
52,Private,94873,HS-grad,9,Widowed,Other-service,Unmarried,White,Male,0,0,19,United-States,<=50K
38,Federal-gov,99280,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
28,Private,269317,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,42,United-States,<=50K
23,Private,35633,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,279272,Assoc-acdm,12,Never-married,Transport-moving,Not-in-family,Black,Male,0,0,60,United-States,<=50K
36,Private,398931,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,>50K
33,Private,101352,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K
32,Private,226975,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1876,60,United-States,<=50K
30,Private,132601,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K
72,Private,192732,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,20,United-States,<=50K
56,Private,89698,HS-grad,9,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
53,Private,157947,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
48,Local-gov,132368,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,70261,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K
23,Private,198861,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,1669,40,United-States,<=50K
28,Self-emp-not-inc,183151,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
30,Private,205950,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
19,Private,120251,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,14,United-States,<=50K
45,Private,272729,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Self-emp-inc,163998,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
28,State-gov,210498,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,70377,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
40,Private,164663,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,29974,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,255004,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
50,Private,237868,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1887,55,United-States,>50K
56,Federal-gov,75804,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,<=50K
28,Local-gov,133136,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,<=50K
36,Private,211022,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
46,State-gov,29696,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
57,Private,298507,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,40,United-States,>50K
63,,445168,Bachelors,13,Widowed,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,56,United-States,<=50K
28,Private,195000,Bachelors,13,Never-married,Sales,Other-relative,White,Female,0,0,45,United-States,<=50K
42,Private,156580,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,Puerto-Rico,<=50K
34,Private,137616,9th,5,Never-married,Sales,Unmarried,Black,Female,0,0,35,United-States,<=50K
35,Private,308945,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,75,United-States,<=50K
26,Private,303973,HS-grad,9,Never-married,Priv-house-serv,Other-relative,White,Female,0,1602,15,Mexico,<=50K
58,Private,56392,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
60,Private,304074,Some-college,10,Widowed,Transport-moving,Not-in-family,White,Male,0,0,28,United-States,<=50K
27,Private,373545,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,192236,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
18,Private,50119,10th,6,Never-married,Other-service,Not-in-family,Black,Male,0,0,20,United-States,<=50K
33,Local-gov,107417,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
54,Private,182854,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
50,Private,141592,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
30,Private,206923,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,1977,40,United-States,>50K
38,Self-emp-not-inc,179824,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,United-States,<=50K
24,Private,39615,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
62,Self-emp-not-inc,285692,Masters,14,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
64,Self-emp-not-inc,339321,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,24,United-States,>50K
66,Private,201197,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
56,Self-emp-not-inc,296991,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,England,>50K
23,Private,172232,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
60,Private,85413,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,>50K
35,,317780,Some-college,10,Never-married,,Unmarried,Black,Female,0,0,40,United-States,<=50K
57,State-gov,247624,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
78,Self-emp-not-inc,213136,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,24,United-States,<=50K
19,Private,281704,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,<=50K
67,Private,171584,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,6514,0,7,United-States,>50K
57,Private,142076,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,40,United-States,>50K
49,State-gov,142856,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
35,,164866,10th,6,Divorced,,Not-in-family,White,Male,0,0,99,United-States,<=50K
26,Private,181655,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2377,45,United-States,<=50K
51,Private,194097,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
46,Private,57914,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,154835,HS-grad,9,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,40,South,<=50K
25,Private,190107,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
41,State-gov,114537,HS-grad,9,Separated,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
42,Private,259757,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,653,50,United-States,>50K
53,Self-emp-not-inc,174102,7th-8th,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,Greece,>50K
40,Federal-gov,118686,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
30,Private,175856,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,167005,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,>50K
70,,162659,7th-8th,4,Married-civ-spouse,,Husband,White,Male,0,0,8,United-States,<=50K
54,Private,256908,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,25,United-States,>50K
51,Self-emp-not-inc,259323,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,70,United-States,<=50K
54,Private,217850,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,>50K
36,Private,152307,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,55,United-States,>50K
28,State-gov,134813,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,65,United-States,>50K
34,State-gov,49325,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
59,Private,99248,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
49,Private,186078,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
50,Self-emp-not-inc,114758,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,4416,0,45,United-States,<=50K
54,Private,141272,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,>50K
41,Private,44121,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
22,Local-gov,238831,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,<=50K
44,Self-emp-inc,57233,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
54,Private,133403,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1902,35,United-States,<=50K
53,Private,170701,Bachelors,13,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
46,Private,174386,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
25,Local-gov,58441,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Private,127388,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K
21,Private,293726,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,60,United-States,<=50K
35,Private,193094,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,0,0,35,United-States,<=50K
44,Private,53470,Bachelors,13,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
45,,177775,Assoc-voc,11,Never-married,,Other-relative,White,Female,0,0,32,United-States,<=50K
63,Private,281237,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Private,185692,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United-States,<=50K
53,Private,154785,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
47,Self-emp-not-inc,165039,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
26,State-gov,68346,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,10,,<=50K
37,Self-emp-not-inc,98941,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,>50K
43,Self-emp-inc,405601,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
28,Self-emp-not-inc,107236,12th,8,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Private,84610,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,60,United-States,>50K
48,Self-emp-inc,369522,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,25,United-States,>50K
61,Private,57408,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
31,Private,132996,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,45,United-States,>50K
39,Private,247558,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,41,United-States,<=50K
30,Private,183017,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
37,Self-emp-inc,317580,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
22,,227943,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,44,United-States,<=50K
34,Private,182691,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Male,0,0,44,United-States,<=50K
61,Private,213700,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,32,United-States,>50K
55,Private,327406,Some-college,10,Divorced,Sales,Not-in-family,White,Male,0,0,65,United-States,>50K
40,Private,121492,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,48,United-States,<=50K
71,,100820,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,2489,15,United-States,<=50K
33,Private,221966,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,2202,0,50,United-States,<=50K
67,State-gov,423561,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,147099,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,<=50K
28,Private,195520,Assoc-voc,11,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,Ireland,<=50K
24,Private,155818,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
28,Private,150025,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,,<=50K
22,Private,141698,10th,6,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
23,Private,549349,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
36,Private,179731,HS-grad,9,Never-married,Priv-house-serv,Other-relative,White,Female,0,0,20,,<=50K
34,Private,162604,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,Male,0,0,40,United-States,<=50K
19,Private,96705,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,14,United-States,<=50K
37,Self-emp-not-inc,177974,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3942,0,99,United-States,<=50K
24,Private,275093,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,36,United-States,<=50K
32,Private,53260,HS-grad,9,Divorced,Other-service,Unmarried,Other,Female,0,0,28,United-States,<=50K
28,,290267,Bachelors,13,Never-married,,Not-in-family,White,Male,0,0,18,United-States,<=50K
19,Private,410632,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
33,Private,40681,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,3674,0,16,United-States,<=50K
31,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
37,Private,106043,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
53,State-gov,118793,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
61,Private,217125,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
42,Private,180096,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,60,United-States,<=50K
61,Private,48549,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,38,United-States,>50K
56,State-gov,153451,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K
26,Private,167350,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
58,Self-emp-not-inc,216824,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,30,United-States,<=50K
35,Private,154410,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
44,Private,245317,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,199029,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,>50K
54,Local-gov,31533,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
21,Private,137895,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
38,Private,31848,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
